tag,count,zh_name,confidence,note
chinese_new_year,1239,chinesenew年,low,"自动拆词；需校对未知片段: chinese, new"
huge_moon,1238,巨大moon,medium,自动拆词；需校对未知片段: moon
loose_shirt,1238,宽松衬衫,medium,自动拆词组合，建议校对语序
footwear_ribbon,1235,鞋类丝带,medium,自动拆词组合，建议校对语序
pencil_case,1235,pencilcase,low,"自动拆词；需校对未知片段: pencil, case"
pov_doorway,1233,povdoorway,low,"自动拆词；需校对未知片段: pov, doorway"
mage_staff,1233,mage杖,medium,自动拆词；需校对未知片段: mage
white_butterfly,1232,白色蝴蝶,medium,自动拆词组合，建议校对语序
grey_hairband,1232,灰色发带,medium,自动拆词组合，建议校对语序
teacher_and_student,1232,teacherstudent,low,"自动拆词；需校对未知片段: teacher, student"
ornate_ring,1232,ornate泳圈,medium,自动拆词；需校对未知片段: ornate
ass_ripple,1232,屁股ripple,medium,自动拆词；需校对未知片段: ripple
coin_hair_ornament,1231,硬币头发饰品,medium,自动拆词组合，建议校对语序
holding_tablet_pc,1230,拿着tabletpc,low,"自动拆词；需校对未知片段: tablet, pc"
hair_lift,1229,头发掀起,medium,自动拆词组合，建议校对语序
bucket_hat,1228,bucket帽子,medium,自动拆词；需校对未知片段: bucket
curled_fingers,1227,curled手指,medium,自动拆词；需校对未知片段: curled
musou_isshin_(genshin_impact),1227,musouisshin（genshin_impact）,low,"自动拆词；需校对未知片段: musou, isshin"
gold_footwear,1225,金色鞋类,medium,自动拆词组合，建议校对语序
tutu,1224,tutu,low,自动拆词；需校对未知片段: tutu
holding_popsicle,1224,拿着popsicle,medium,自动拆词；需校对未知片段: popsicle
between_pectorals,1224,之间胸肌,medium,自动拆词组合，建议校对语序
orange_vest,1222,橙色背心,medium,自动拆词组合，建议校对语序
kikumon,1222,kikumon,low,自动拆词；需校对未知片段: kikumon
alpaca_ears,1222,alpaca耳朵,medium,自动拆词；需校对未知片段: alpaca
colored_nipples,1221,有色乳头,medium,自动拆词组合，建议校对语序
blending,1220,blending,low,自动拆词；需校对未知片段: blending
arthropod_limbs,1220,节肢动物limbs,medium,自动拆词；需校对未知片段: limbs
holding_ribbon,1219,拿着丝带,medium,自动拆词组合，建议校对语序
yellow_tail,1218,黄色尾巴,medium,自动拆词组合，建议校对语序
