tag,count,zh_name,confidence,note
bloodshot_eyes,777,bloodshot眼睛,medium,自动拆词；需校对未知片段: bloodshot
green_horns,777,绿色角,medium,自动拆词组合，建议校对语序
glitter,776,glitter,low,自动拆词；需校对未知片段: glitter
holding_suitcase,776,拿着suitcase,medium,自动拆词；需校对未知片段: suitcase
beer_bottle,776,beer瓶,medium,自动拆词；需校对未知片段: beer
green_headband,776,绿色headband,medium,自动拆词；需校对未知片段: headband
micro_bra,776,microbra,low,"自动拆词；需校对未知片段: micro, bra"
ace_of_spades,775,acespades,low,"自动拆词；需校对未知片段: ace, spades"
bipod,775,bipod,low,自动拆词；需校对未知片段: bipod
no_feet,775,无脚,medium,自动拆词组合，建议校对语序
motosu_school_uniform,775,motosu学校制服,medium,自动拆词；需校对未知片段: motosu
horn_grab,774,horn抓住,medium,自动拆词；需校对未知片段: horn
golden_arms,774,golden手臂,medium,自动拆词；需校对未知片段: golden
crisis_management_form_(machimazo),774,crisismanagementform（machimazo）,low,"自动拆词；需校对未知片段: crisis, management, form"
shamoji,773,shamoji,low,自动拆词；需校对未知片段: shamoji
walther,773,walther,low,自动拆词；需校对未知片段: walther
brown_serafuku,773,棕色水手服,medium,自动拆词组合，建议校对语序
math,773,math,low,自动拆词；需校对未知片段: math
red_nose,773,红色鼻子,medium,自动拆词组合，建议校对语序
holding_leg,773,拿着腿,medium,自动拆词组合，建议校对语序
animal_head,773,动物头,medium,自动拆词组合，建议校对语序
black_scales,773,黑色scales,medium,自动拆词；需校对未知片段: scales
bust_cup,772,bust杯子,medium,自动拆词；需校对未知片段: bust
covered_clitoris,772,覆盖clitoris,medium,自动拆词；需校对未知片段: clitoris
bulging_eyes,772,bulging眼睛,medium,自动拆词；需校对未知片段: bulging
object_on_breast,772,物体在乳房,medium,自动拆词组合，建议校对语序
dream_soul,772,dreamsoul,low,"自动拆词；需校对未知片段: dream, soul"
nebula,771,nebula,low,自动拆词；需校对未知片段: nebula
gold_coin,771,金色硬币,medium,自动拆词组合，建议校对语序
panda_hood,771,panda兜帽,medium,自动拆词；需校对未知片段: panda
elevator,770,elevator,low,自动拆词；需校对未知片段: elevator
taut_swimsuit,770,taut泳装,medium,自动拆词；需校对未知片段: taut
deer_tail,770,鹿尾巴,medium,自动拆词组合，建议校对语序
purple_butterfly,770,紫色蝴蝶,medium,自动拆词组合，建议校对语序
lolidom,769,lolidom,low,自动拆词；需校对未知片段: lolidom
aqua_leotard,769,水色连体衣,medium,自动拆词组合，建议校对语序
bathhouse,769,bathhouse,low,自动拆词；需校对未知片段: bathhouse
laundry_basket,769,laundrybasket,low,"自动拆词；需校对未知片段: laundry, basket"
double_amputee,769,双amputee,medium,自动拆词；需校对未知片段: amputee
broccoli,769,broccoli,low,自动拆词；需校对未知片段: broccoli
little_red_riding_hood_(grimm)_(cosplay),769,little红色骑乘兜帽(grimm)（cosplay）,low,"自动拆词；需校对未知片段: little, (grimm)"
fur_cuffs,768,毛皮袖口,medium,自动拆词组合，建议校对语序
broken_armor,768,破损盔甲,medium,自动拆词组合，建议校对语序
through_screen,768,视screen,medium,自动拆词；需校对未知片段: screen
wakamezake,767,wakamezake,low,自动拆词；需校对未知片段: wakamezake
glowing_hand,767,发光手,medium,自动拆词组合，建议校对语序
panties_under_shorts,767,内裤下短裤,medium,自动拆词组合，建议校对语序
weasel_girl,767,weasel女孩,medium,自动拆词；需校对未知片段: weasel
brown_lips,767,棕色嘴唇,medium,自动拆词组合，建议校对语序
arm_around_back,766,手臂围绕背后,medium,自动拆词组合，建议校对语序
hand_on_table,766,手在桌子,medium,自动拆词组合，建议校对语序
white_sky,766,白色天空,medium,自动拆词组合，建议校对语序
dilation_tape,766,dilationtape,low,"自动拆词；需校对未知片段: dilation, tape"
arm_on_knee,766,手臂在膝,medium,自动拆词组合，建议校对语序
maple_leaf_print,766,maple叶子印花,medium,自动拆词；需校对未知片段: maple
kanba_girls_high_school_uniform,766,kanbagirlshigh学校制服,low,"自动拆词；需校对未知片段: kanba, girls, high"
cabbage,765,cabbage,low,自动拆词；需校对未知片段: cabbage
listening_to_music,765,listeningmusic,low,"自动拆词；需校对未知片段: listening, music"
power_connection,765,power连接,medium,自动拆词；需校对未知片段: power
lifebuoy_ornament,765,lifebuoy饰品,medium,自动拆词；需校对未知片段: lifebuoy
exploding_clothes,764,exploding服装,medium,自动拆词；需校对未知片段: exploding
right-over-left_kimono,764,right覆在left和服,low,"自动拆词；需校对未知片段: right, left"
holding_creature,764,拿着creature,medium,自动拆词；需校对未知片段: creature
floating_rock,764,漂浮rock,medium,自动拆词；需校对未知片段: rock
stiletto_(weapon),764,stiletto（武器）,low,自动拆词；需校对未知片段: stiletto
window_(computing),763,window（computing）,low,自动拆词；需校对未知片段: window
clawed_gauntlets,763,clawedgauntlets,low,"自动拆词；需校对未知片段: clawed, gauntlets"
canned_coffee,763,cannedcoffee,low,"自动拆词；需校对未知片段: canned, coffee"
dogeza,763,dogeza,low,自动拆词；需校对未知片段: dogeza
glass_shards,763,镜shards,medium,自动拆词；需校对未知片段: shards
nipple_chain,762,乳头链条,medium,自动拆词组合，建议校对语序
camisole_lift,762,吊带背心掀起,medium,自动拆词组合，建议校对语序
frilled_headwear,761,荷叶边头饰,medium,自动拆词组合，建议校对语序
cable_tail,761,cable尾巴,medium,自动拆词；需校对未知片段: cable
chess,761,chess,low,自动拆词；需校对未知片段: chess
red_male_underwear,761,红色男性内衣,medium,自动拆词组合，建议校对语序
exposed_pocket,761,exposedpocket,low,"自动拆词；需校对未知片段: exposed, pocket"
combat_knife,760,combat刀,medium,自动拆词；需校对未知片段: combat
two-sided_coat,760,两个双面外套,medium,自动拆词组合，建议校对语序
materia,759,materia,low,自动拆词；需校对未知片段: materia
firelock,759,firelock,low,自动拆词；需校对未知片段: firelock
volcano,759,volcano,low,自动拆词；需校对未知片段: volcano
village,759,village,low,自动拆词；需校对未知片段: village
trophy,759,trophy,low,自动拆词；需校对未知片段: trophy
fingering_through_panties,758,fingering视内裤,medium,自动拆词；需校对未知片段: fingering
dotted_background,758,dotted背景,medium,自动拆词；需校对未知片段: dotted
eel,757,eel,low,自动拆词；需校对未知片段: eel
paizuri_invitation,757,paizuriinvitation,low,"自动拆词；需校对未知片段: paizuri, invitation"
safety_glasses,756,safetyglasses,low,"自动拆词；需校对未知片段: safety, glasses"
holding_fish,755,拿着鱼,medium,自动拆词组合，建议校对语序
front_slit,755,前部slit,medium,自动拆词；需校对未知片段: slit
multitasking,754,multitasking,low,自动拆词；需校对未知片段: multitasking
flippers,754,flippers,low,自动拆词；需校对未知片段: flippers
honda,754,honda,low,自动拆词；需校对未知片段: honda
leopard_girl,754,leopard女孩,medium,自动拆词；需校对未知片段: leopard
