tag,count,zh_name,confidence,note
holding_magnifying_glass,656,拿着放大镜,medium,自动拆词组合，建议校对语序
single_off_shoulder,656,单个露出肩,medium,自动拆词组合，建议校对语序
meandros,654,希腊回纹,medium,纹样名需校对
stained_sheets,654,染污床单,medium,自动拆词组合，建议校对语序
arm_across_waist,654,手臂横过腰,medium,自动拆词组合，建议校对语序
torn_cloak,654,破损斗篷,medium,自动拆词组合，建议校对语序
heart_hair,654,心形头发,medium,自动拆词组合，建议校对语序
audio_jack,654,音频插孔,medium,自动拆词组合，建议校对语序
oven,653,烤箱,medium,自动拆词组合，建议校对语序
kittysuit,652,猫咪紧身衣,medium,自动拆词组合，建议校对语序
soy_sauce,651,酱油酱,medium,自动拆词组合，建议校对语序
shirt_around_waist,651,衬衫围绕腰,medium,自动拆词组合，建议校对语序
;(,651,;(,medium,符号/表情标签
arthropod_boy,651,节肢动物男孩,medium,自动拆词组合，建议校对语序
hieroglyphics,651,象形文字,medium,自动拆词组合，建议校对语序
rural,651,乡村,high,
piano_keys,651,钢琴琴键,medium,自动拆词组合，建议校对语序
sailor_swimsuit_(idolmaster),651,水手泳装（偶像大师）,medium,作品专属服装
market_stall,650,市场摊位,medium,自动拆词组合，建议校对语序
detached_ahoge,650,分离式呆毛,medium,自动拆词组合，建议校对语序
ankle_garter,649,脚踝吊袜带,medium,自动拆词组合，建议校对语序
fusuma,649,隔扇,medium,自动拆词组合，建议校对语序
package,649,包裹,medium,自动拆词组合，建议校对语序
feet_on_chair,648,脚在椅子,medium,自动拆词组合，建议校对语序
singlet,648,背心,medium,自动拆词组合，建议校对语序
large_ears,647,大耳朵,medium,自动拆词组合，建议校对语序
sailor_collar_lift,646,水手衣领掀起,medium,自动拆词组合，建议校对语序
aviator_cap,646,飞行员帽子,medium,自动拆词组合，建议校对语序
aqua_shorts,646,水色短裤,medium,自动拆词组合，建议校对语序
monkey_boy,646,猴男孩,medium,自动拆词组合，建议校对语序
flying_button,645,飞起纽扣,medium,自动拆词组合，建议校对语序
race_bib,645,比赛号码布,medium,自动拆词组合，建议校对语序
ambiguous_red_liquid,645,不明红色液体,medium,自动拆词组合，建议校对语序
sewing_needle,645,sewing针,medium,自动拆词；需校对未知片段: sewing
holding_newspaper,644,拿着报纸,medium,自动拆词组合，建议校对语序
female_service_cap,643,女性制服帽子,medium,自动拆词组合，建议校对语序
covering_with_blanket,642,遮住毯子,medium,自动拆词组合，建议校对语序
moth_girl,642,蛾女孩,medium,自动拆词组合，建议校对语序
rag,641,抹布,medium,自动拆词组合，建议校对语序
ankleband,641,脚环,medium,自动拆词组合，建议校对语序
shampoo_bottle,641,洗发水瓶,medium,自动拆词组合，建议校对语序
black_babydoll,640,黑色娃娃裙,medium,自动拆词组合，建议校对语序
tucked_penis,640,塞入阴茎,medium,自动拆词组合，建议校对语序
multiple_bracelets,640,多个手镯,medium,自动拆词组合，建议校对语序
kin-iro_mosaic_high_school_uniform,640,黄金拼图高中校服,medium,作品专属制服
holding_bell,639,拿着铃铛,medium,自动拆词组合，建议校对语序
blue_male_underwear,638,蓝色男性内衣,medium,自动拆词组合，建议校对语序
side_cape,638,侧边披肩,medium,自动拆词组合，建议校对语序
hand_grip,637,手grip,medium,自动拆词；需校对未知片段: grip
inset_border,636,inset边框,medium,自动拆词；需校对未知片段: inset
glove_bow,635,手套蝴蝶结,medium,自动拆词组合，建议校对语序
green_serafuku,635,绿色水手服,medium,自动拆词组合，建议校对语序
claw_foot_bathtub,635,claw脚浴缸,medium,自动拆词；需校对未知片段: claw
unworn_thighhighs,635,未穿戴长筒袜,medium,自动拆词组合，建议校对语序
rooster,634,公鸡,medium,自动拆词组合，建议校对语序
poi,631,poi,low,语气/梗标签，需人工确认
ribbed_socks,628,罗纹袜子,medium,自动拆词组合，建议校对语序
dress_shoes,628,连衣裙鞋,medium,自动拆词组合，建议校对语序
vertical-striped_shorts,627,竖向条纹短裤,medium,自动拆词组合，建议校对语序
blue_sweater_vest,626,蓝色毛衣背心,medium,自动拆词组合，建议校对语序
polearm_behind_back,624,长柄武器在后方背后,medium,自动拆词组合，建议校对语序
fur-trimmed_thighhighs,623,毛皮饰边长筒袜,medium,自动拆词组合，建议校对语序
streetwear,611,街头服饰,high,
